label_id,sum,count,acc,coverage,stride,model,dataset
19,5,20,0.25,10,2,videomae,ucf101
20,16,20,0.8,10,2,videomae,ucf101
21,1,20,0.05,10,2,videomae,ucf101
22,11,20,0.55,10,2,videomae,ucf101
23,7,20,0.35,10,2,videomae,ucf101
24,20,20,1.0,10,2,videomae,ucf101
25,17,20,0.85,10,2,videomae,ucf101
26,19,20,0.95,10,2,videomae,ucf101
27,17,20,0.85,10,2,videomae,ucf101
28,14,20,0.7,10,2,videomae,ucf101
29,7,20,0.35,10,2,videomae,ucf101
30,16,20,0.8,10,2,videomae,ucf101
31,19,20,0.95,10,2,videomae,ucf101
32,17,20,0.85,10,2,videomae,ucf101
33,19,20,0.95,10,2,videomae,ucf101
34,13,20,0.65,10,2,videomae,ucf101
35,8,20,0.4,10,2,videomae,ucf101
36,14,20,0.7,10,2,videomae,ucf101
37,16,20,0.8,10,2,videomae,ucf101
38,19,20,0.95,10,2,videomae,ucf101
39,0,20,0.0,10,2,videomae,ucf101
40,15,20,0.75,10,2,videomae,ucf101
41,20,20,1.0,10,2,videomae,ucf101
42,18,20,0.9,10,2,videomae,ucf101
43,19,20,0.95,10,2,videomae,ucf101
44,13,20,0.65,10,2,videomae,ucf101
45,18,20,0.9,10,2,videomae,ucf101
46,3,20,0.15,10,2,videomae,ucf101
47,18,20,0.9,10,2,videomae,ucf101
48,19,20,0.95,10,2,videomae,ucf101
49,19,20,0.95,10,2,videomae,ucf101
50,12,20,0.6,10,2,videomae,ucf101
51,12,20,0.6,10,2,videomae,ucf101
52,18,20,0.9,10,2,videomae,ucf101
53,14,20,0.7,10,2,videomae,ucf101
54,16,20,0.8,10,2,videomae,ucf101
55,5,20,0.25,10,2,videomae,ucf101
56,11,20,0.55,10,2,videomae,ucf101
57,11,20,0.55,10,2,videomae,ucf101
58,18,20,0.9,10,2,videomae,ucf101
59,20,20,1.0,10,2,videomae,ucf101
60,20,20,1.0,10,2,videomae,ucf101
61,20,20,1.0,10,2,videomae,ucf101
62,20,20,1.0,10,2,videomae,ucf101
63,20,20,1.0,10,2,videomae,ucf101
64,20,20,1.0,10,2,videomae,ucf101
65,20,20,1.0,10,2,videomae,ucf101
66,20,20,1.0,10,2,videomae,ucf101
67,3,20,0.15,10,2,videomae,ucf101
68,18,20,0.9,10,2,videomae,ucf101
69,11,20,0.55,10,2,videomae,ucf101
70,18,20,0.9,10,2,videomae,ucf101
71,17,20,0.85,10,2,videomae,ucf101
72,16,20,0.8,10,2,videomae,ucf101
73,20,20,1.0,10,2,videomae,ucf101
74,14,20,0.7,10,2,videomae,ucf101
75,18,20,0.9,10,2,videomae,ucf101
76,13,20,0.65,10,2,videomae,ucf101
77,18,20,0.9,10,2,videomae,ucf101
78,15,20,0.75,10,2,videomae,ucf101
79,14,20,0.7,10,2,videomae,ucf101
80,13,20,0.65,10,2,videomae,ucf101
81,17,20,0.85,10,2,videomae,ucf101
82,15,20,0.75,10,2,videomae,ucf101
83,16,20,0.8,10,2,videomae,ucf101
84,20,20,1.0,10,2,videomae,ucf101
85,8,20,0.4,10,2,videomae,ucf101
86,19,20,0.95,10,2,videomae,ucf101
87,20,20,1.0,10,2,videomae,ucf101
88,14,20,0.7,10,2,videomae,ucf101
89,17,20,0.85,10,2,videomae,ucf101
90,18,20,0.9,10,2,videomae,ucf101
91,10,20,0.5,10,2,videomae,ucf101
92,12,20,0.6,10,2,videomae,ucf101
93,15,20,0.75,10,2,videomae,ucf101
94,19,20,0.95,10,2,videomae,ucf101
95,7,20,0.35,10,2,videomae,ucf101
96,15,20,0.75,10,2,videomae,ucf101
97,14,20,0.7,10,2,videomae,ucf101
98,20,20,1.0,10,2,videomae,ucf101
99,20,20,1.0,10,2,videomae,ucf101
100,16,20,0.8,10,2,videomae,ucf101
0,20,20,1.0,10,4,videomae,ucf101
1,19,20,0.95,10,4,videomae,ucf101
2,16,20,0.8,10,4,videomae,ucf101
3,20,20,1.0,10,4,videomae,ucf101
4,7,20,0.35,10,4,videomae,ucf101
5,16,20,0.8,10,4,videomae,ucf101
6,11,20,0.55,10,4,videomae,ucf101
7,7,20,0.35,10,4,videomae,ucf101
8,20,20,1.0,10,4,videomae,ucf101
9,20,20,1.0,10,4,videomae,ucf101
10,20,20,1.0,10,4,videomae,ucf101
11,19,20,0.95,10,4,videomae,ucf101
12,9,20,0.45,10,4,videomae,ucf101
13,18,20,0.9,10,4,videomae,ucf101
14,4,20,0.2,10,4,videomae,ucf101
15,18,20,0.9,10,4,videomae,ucf101
16,9,20,0.45,10,4,videomae,ucf101
17,20,20,1.0,10,4,videomae,ucf101
18,20,20,1.0,10,4,videomae,ucf101
19,8,20,0.4,10,4,videomae,ucf101
20,16,20,0.8,10,4,videomae,ucf101
21,3,20,0.15,10,4,videomae,ucf101
22,11,20,0.55,10,4,videomae,ucf101
23,4,20,0.2,10,4,videomae,ucf101
24,20,20,1.0,10,4,videomae,ucf101
25,17,20,0.85,10,4,videomae,ucf101
26,16,20,0.8,10,4,videomae,ucf101
27,17,20,0.85,10,4,videomae,ucf101
28,14,20,0.7,10,4,videomae,ucf101
29,5,20,0.25,10,4,videomae,ucf101
30,18,20,0.9,10,4,videomae,ucf101
31,19,20,0.95,10,4,videomae,ucf101
32,16,20,0.8,10,4,videomae,ucf101
33,19,20,0.95,10,4,videomae,ucf101
34,11,20,0.55,10,4,videomae,ucf101
35,7,20,0.35,10,4,videomae,ucf101
36,9,20,0.45,10,4,videomae,ucf101
37,16,20,0.8,10,4,videomae,ucf101
38,17,20,0.85,10,4,videomae,ucf101
39,0,20,0.0,10,4,videomae,ucf101
40,14,20,0.7,10,4,videomae,ucf101
41,20,20,1.0,10,4,videomae,ucf101
42,16,20,0.8,10,4,videomae,ucf101
43,18,20,0.9,10,4,videomae,ucf101
44,13,20,0.65,10,4,videomae,ucf101
45,17,20,0.85,10,4,videomae,ucf101
46,2,20,0.1,10,4,videomae,ucf101
47,18,20,0.9,10,4,videomae,ucf101
48,17,20,0.85,10,4,videomae,ucf101
49,19,20,0.95,10,4,videomae,ucf101
50,12,20,0.6,10,4,videomae,ucf101
51,9,20,0.45,10,4,videomae,ucf101
52,18,20,0.9,10,4,videomae,ucf101
53,14,20,0.7,10,4,videomae,ucf101
54,14,20,0.7,10,4,videomae,ucf101
55,2,20,0.1,10,4,videomae,ucf101
56,12,20,0.6,10,4,videomae,ucf101
57,5,20,0.25,10,4,videomae,ucf101
58,18,20,0.9,10,4,videomae,ucf101
59,20,20,1.0,10,4,videomae,ucf101
60,20,20,1.0,10,4,videomae,ucf101
61,20,20,1.0,10,4,videomae,ucf101
62,20,20,1.0,10,4,videomae,ucf101
63,20,20,1.0,10,4,videomae,ucf101
64,20,20,1.0,10,4,videomae,ucf101
65,20,20,1.0,10,4,videomae,ucf101
66,20,20,1.0,10,4,videomae,ucf101
67,3,20,0.15,10,4,videomae,ucf101
